"File","Lines"
"C:\dev\rik-expo-app\src\lib\database.types.ts","20242"
"C:\dev\rik-expo-app\src\screens\office\OfficeHubScreen.tsx","2644"
"C:\dev\rik-expo-app\app\pdf-viewer.tsx","1589"
"C:\dev\rik-expo-app\src\screens\foreman\hooks\useForemanDraftBoundary.ts","1524"
"C:\dev\rik-expo-app\src\screens\office\OfficeHubScreen.test.tsx","1439"
"C:\dev\rik-expo-app\src\lib\navigation\officeReentryBreadcrumbs.ts","1133"
"C:\dev\rik-expo-app\src\components\foreman\CalcModal.tsx","1126"
"C:\dev\rik-expo-app\src\screens\foreman\foreman.ai.ts","1114"
"C:\dev\rik-expo-app\src\lib\api\pdf_director.data.ts","1110"
"C:\dev\rik-expo-app\src\screens\foreman\useForemanScreenController.ts","1110"
"C:\dev\rik-expo-app\src\lib\documents\pdfDocumentActions.ts","1042"
"C:\dev\rik-expo-app\src\screens\profile\profile.styles.ts","1019"
"C:\dev\rik-expo-app\src\lib\catalog\catalog.proposalCreation.service.ts","1012"
"C:\dev\rik-expo-app\src\lib\api\proposals.ts","992"
"C:\dev\rik-expo-app\src\screens\foreman\hooks\useForemanSubcontractController.tsx","991"
"C:\dev\rik-expo-app\src\lib\catalog\catalog.request.service.ts","961"
"C:\dev\rik-expo-app\app\(tabs)\buyer.tsx","920"
"C:\dev\rik-expo-app\src\screens\foreman\foreman.localDraft.ts","821"
"C:\dev\rik-expo-app\src\screens\contractor\contractor.loadWorksService.ts","818"
"C:\dev\rik-expo-app\src\lib\api\integrity.guards.ts","801"
"C:\dev\rik-expo-app\src\screens\buyer\BuyerSubcontractTab.tsx","792"
"C:\dev\rik-expo-app\src\lib\api\paymentPdf.service.ts","784"
"C:\dev\rik-expo-app\src\lib\api\requests.ts","772"
"C:\dev\rik-expo-app\src\lib\pdfRunner.ts","764"
"C:\dev\rik-expo-app\src\screens\director\hooks\useDirectorReportsController.ts","762"
"C:\dev\rik-expo-app\src\components\foreman\calcFieldProfiles.ts","750"
"C:\dev\rik-expo-app\src\screens\warehouse\warehouse.reqHeads.repair.ts","740"
"C:\dev\rik-expo-app\src\screens\director\director.finance.shared.ts","733"
"C:\dev\rik-expo-app\src\features\ai\AIAssistantScreen.tsx","732"
"C:\dev\rik-expo-app\src\components\map\MapScreen.tsx","729"
"C:\dev\rik-expo-app\src\screens\foreman\foreman.draftBoundary.helpers.ts","714"
"C:\dev\rik-expo-app\src\screens\foreman\foreman.styles.ts","711"
"C:\dev\rik-expo-app\src\lib\api\directorPdfSource.service.ts","710"
"C:\dev\rik-expo-app\src\screens\accountant\components\ActivePaymentForm.test.tsx","701"
"C:\dev\rik-expo-app\src\screens\foreman\ForemanSubcontractTab.sections.tsx","688"
"C:\dev\rik-expo-app\src\screens\warehouse\warehouse.stockReports.service.ts","677"
"C:\dev\rik-expo-app\src\lib\offline\mutationWorker.ts","676"
"C:\dev\rik-expo-app\src\lib\offline\mutationQueue.ts","674"
"C:\dev\rik-expo-app\src\screens\foreman\hooks\useForemanVoiceInput.ts","672"
"C:\dev\rik-expo-app\src\screens\contractor\contractor.workModalService.ts","671"
"C:\dev\rik-expo-app\src\lib\api\director_reports.transport.discipline.ts","666"
"C:\dev\rik-expo-app\src\screens\accountant\components\ActivePaymentForm.tsx","665"
"C:\dev\rik-expo-app\src\screens\director\director.lifecycle.ts","655"
"C:\dev\rik-expo-app\src\screens\buyer\components\BuyerItemRow.tsx","651"
"C:\dev\rik-expo-app\src\features\market\market.repository.ts","634"
"C:\dev\rik-expo-app\src\screens\buyer\hooks\useBuyerLoadingController.ts","633"
"C:\dev\rik-expo-app\src\shared\release\releaseInfo.ts","625"
"C:\dev\rik-expo-app\src\screens\subcontracts\subcontracts.shared.ts","619"
"C:\dev\rik-expo-app\src\features\market\MarketHomeScreen.tsx","614"
"C:\dev\rik-expo-app\src\screens\foreman\ForemanAiQuickModal.tsx","610"
"C:\dev\rik-expo-app\src\features\ai\assistantActions.ts","609"
"C:\dev\rik-expo-app\src\lib\api\contractor.scope.service.ts","598"
"C:\dev\rik-expo-app\src\screens\accountant\useAccountantPaymentForm.ts","594"
"C:\dev\rik-expo-app\src\lib\api\accountant.ts","592"
"C:\dev\rik-expo-app\src\features\seller\SellerAreaScreen.tsx","585"
"C:\dev\rik-expo-app\src\features\ai\useAssistantVoiceInput.ts","585"
"C:\dev\rik-expo-app\app\(tabs)\contractor.tsx","582"
"C:\dev\rik-expo-app\src\lib\api\directorFinanceScope.service.ts","580"
"C:\dev\rik-expo-app\app\(tabs)\accountant.tsx","580"
"C:\dev\rik-expo-app\src\features\supplierShowcase\SupplierShowcaseScreen.tsx","569"
"C:\dev\rik-expo-app\src\screens\buyer\buyer.submit.mutation.ts","564"
"C:\dev\rik-expo-app\src\lib\api\director_reports.context.ts","561"
"C:\dev\rik-expo-app\src\lib\offline\mutationWorker.contract.test.ts","560"
"C:\dev\rik-expo-app\src\screens\buyer\buyer.rework.mutation.ts","547"
"C:\dev\rik-expo-app\src\lib\offline\contractorProgressWorker.ts","541"
"C:\dev\rik-expo-app\src\screens\contractor\contractor.progressDraft.store.ts","538"
"C:\dev\rik-expo-app\src\screens\director\DirectorReportsModal.tsx","537"
"C:\dev\rik-expo-app\src\components\foreman\CatalogModal.tsx","536"
"C:\dev\rik-expo-app\src\screens\director\DirectorSubcontractTab.tsx","525"
"C:\dev\rik-expo-app\src\lib\api\director_reports.naming.ts","524"
"C:\dev\rik-expo-app\src\lib\offline\contractorProgressQueue.ts","523"
"C:\dev\rik-expo-app\src\screens\warehouse\warehouse.requests.read.shared.ts","518"
"C:\dev\rik-expo-app\src\screens\foreman\hooks\useForemanAiQuickFlow.ts","518"
"C:\dev\rik-expo-app\src\lib\requestTimeoutPolicy.ts","517"
"C:\dev\rik-expo-app\src\screens\warehouse\hooks\useWarehouseReqHeads.ts","517"
"C:\dev\rik-expo-app\src\screens\accountant\components\ReadOnlyReceipt.tsx","512"
"C:\dev\rik-expo-app\src\screens\contractor\hooks\useContractorProgressReliability.ts","511"
"C:\dev\rik-expo-app\src\screens\warehouse\hooks\useWarehouseReceiveFlow.ts","509"
"C:\dev\rik-expo-app\src\features\chat\ChatScreen.tsx","509"
"C:\dev\rik-expo-app\src\screens\warehouse\warehouse.requests.read.test.ts","509"
"C:\dev\rik-expo-app\src\lib\documents\pdfDocumentActions.test.ts","502"
